1,Abkhazia
2,Afghanistan
3,Akrotiri and Dhekelia
4,Albania
5,Algeria
6,American Samoa
7,Andorra
8,Angola
9,Anguilla
10,Antigua and Barbuda
11,Argentina
12,Armenia
13,Aruba
14,Australia
15,Austria
16,Azerbaijan
17,Bahamas
18,Bahrain
19,Bangladesh
20,Barbados
21,Belarus
22,Belgium
23,Belize
24,Benin
25,Bermuda
26,Bhutan
27,Bolivia
28,Bosnia and Herzegovina
29,Botswana
30,Brazil
31,British Virgin Islands
32,Brunei
33,Bulgaria
34,Burkina Faso
35,Burundi
36,Cambodia
37,Cameroon
38,Canada
39,Cape Verde
40,Cayman Islands
41,Central African Republic
42,Chad
43,Channel Islands
44,Chile
45,China
46,Christmas Island
47,Cocos Island
48,Colombia
49,Comoros
50,"Congo, Dem. Rep."
51,"Congo, Rep."
52,Cook Is
53,Costa Rica
54,Cote d'Ivoire
55,Croatia
56,Cuba
57,Cyprus
58,Czech Republic
59,Czechoslovakia
60,Denmark
61,Djibouti
62,Dominica
63,Dominican Republic
64,East Germany
65,Ecuador
66,Egypt
67,El Salvador
68,Equatorial Guinea
69,Eritrea
70,Eritrea and Ethiopia
71,Estonia
72,Ethiopia
73,Faeroe Islands
74,Falkland Is (Malvinas)
75,Fiji
76,Finland
77,France
78,French Guiana
79,French Polynesia
80,Gabon
81,Gambia
82,Georgia
83,Germany
84,Ghana
85,Gibraltar
86,Greece
87,Greenland
88,Grenada
89,Guadeloupe
90,Guam
91,Guatemala
92,Guernsey
93,Guinea
94,Guinea-Bissau
95,Guyana
96,Haiti
97,Holy See
98,Honduras
99,"Hong Kong, China"
100,Hungary
101,Iceland
102,India
103,Indonesia
104,Iran
105,Iraq
106,Ireland
107,Isle of Man
108,Israel
109,Italy
110,Jamaica
111,Japan
112,Jersey
113,Jordan
114,Kazakhstan
115,Kenya
116,Kiribati
117,North Korea
118,South Korea
119,"United Korea (former)
"
120,Kosovo
121,Kuwait
122,Kyrgyz Republic
123,Lao
124,Latvia
125,Lebanon
126,Lesotho
127,Liberia
128,Libya
129,Liechtenstein
130,Lithuania
131,Luxembourg
132,"Macao, China"
133,"Macedonia, FYR"
134,Madagascar
135,Malawi
136,Malaysia
137,Maldives
138,Mali
139,Malta
140,Marshall Islands
141,Martinique
142,Mauritania
143,Mauritius
144,Mayotte
145,Mexico
146,"Micronesia, Fed. Sts."
147,Moldova
148,Monaco
149,Mongolia
150,Montenegro
151,Montserrat
152,Morocco
153,Mozambique
154,Myanmar
155,Namibia
156,Nauru
157,Nepal
158,Netherlands
159,Netherlands Antilles
160,New Caledonia
161,New Zealand
162,Ngorno-Karabakh
163,Nicaragua
164,Niger
165,Nigeria
166,Niue
167,Norfolk Island
168,Northern Cyprus
169,Northern Mariana Islands
170,Norway
171,Oman
172,Pakistan
173,Palau
174,Panama
175,Papua New Guinea
176,Paraguay
177,Peru
178,Philippines
179,Pitcairn
180,Poland
181,Portugal
182,Puerto Rico
183,Qatar
184,Reunion
185,Romania
186,Russia
187,Rwanda
188,St. Barthélemy
189,St. Helena
190,St. Kitts and Nevis
191,St. Lucia
192,St. Martin
193,St. Vincent and the Grenadines
194,St.-Pierre-et-Miquelon
195,Samoa
196,San Marino
197,Sao Tome and Principe
198,Saudi Arabia
199,Senegal
200,Serbia
201,Serbia and Montenegro
202,Serbia excluding Kosovo
203,Seychelles
204,Sierra Leone
205,Singapore
206,Slovak Republic
207,Slovenia
208,Solomon Islands
209,Somalia
210,Somaliland
211,South Africa
212,South Ossetia
213,Spain
214,Sri Lanka
215,Sudan
216,Suriname
217,Svalbard
218,Swaziland
219,Sweden
220,Switzerland
221,Syria
222,Taiwan
223,Tajikistan
224,Tanzania
225,Thailand
226,Timor-Leste
227,Togo
228,Tokelau
229,Tonga
230,Transnistria
231,Trinidad and Tobago
232,Tunisia
233,Turkey
234,Turkmenistan
235,Turks and Caicos Islands
236,Tuvalu
237,Uganda
238,Ukraine
239,United Arab Emirates
240,United Kingdom
241,United States
242,Uruguay
243,USSR
244,Uzbekistan
245,Wallis et Futuna
246,Vanuatu
247,Venezuela
248,West Bank and Gaza
249,West Germany
250,Western Sahara
251,Vietnam
252,Virgin Islands (U.S.)
253,North Yemen (former)
254,South Yemen (former)
255,Yemen
256,Yugoslavia
257,Zambia
258,Zimbabwe
259,Åland
260,South Sudan
261,Curaçao
262,Sint Maarten (Dutch part)
263,St. Martin (French part)
264,Antarctica
265,Bouvet Island
266,British Indian Ocean Territory
267,Clipperton
268,French Southern and Antarctic Lands
269,Gaza Strip
270,Heard and McDonald Islands
271,Northern Marianas
272,South Georgia and the South Sandwich Islands
273,US Minor Outlying Islands
274,Virgin Islands
275,West Bank
